time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2342669750397367e-07,-5.859120331570127e-08,10.004966474738477,6.282855309555153,0.00012402253657306517,0.0,-1.1367129448698393e-05,-1.6754512216205888e-05,0.16553886003631482,-0.019751295782425606,0.0059103284507073545,0.0,456.7604764380241,457.23145776181775,458.23391548586125,456.6614778560944
0.12000000000000001,-5.197456946889279e-06,-1.4077933341810273e-05,10.020948166157751,6.281683134341941,0.00025126860849411514,0.0,-0.00018754094040909438,-0.0005884986151297772,0.36714035968964687,-0.01910963389006183,-0.006806662538656593,0.0,468.64329660692,467.65392773647,467.9800356602197,468.03002883022293
0.18,-2.0195350753680135e-05,-8.33341232331655e-05,10.045417763619012,6.280981315737275,6.282539506358528,0.0,-0.0002572501266065246,-0.0018086752309160697,0.4484837638176874,6.435905750522622e-05,-0.0409575111138389,0.0,432.2647426251301,429.3776409621984,430.5600946686728,432.17905405448784
0.23999999999999996,-9.096970801512034e-06,-0.00024494394224318594,10.078852832476784,6.281158842682334,6.279650778644703,0.0,0.0009383411036822497,-0.0035666098438092175,0.6659164010007181,0.008196870063359304,-0.06912778368405322,0.0,474.5635001768317,472.39508664257363,472.08094604893523,472.7079018661873
0.3,0.000144294067778306,-0.0005026798920935178,10.12377177866843,6.281239119207104,6.275721115896609,0.0,0.004624339595669803,-0.004985958021201064,0.8312736458404276,-0.018177683523051907,-0.05907330636329446,0.0,458.4051220237061,459.2002208684999,457.54359680630125,455.43928485284795
0.36000000000000004,0.0006321857114342928,-0.0008570427657175577,10.181962998942588,6.2805519945738695,6.272520211788105,0.0,0.01206674560916874,-0.0069362933608468295,1.108203028931122,-0.0005812684452475726,-0.04383701410072502,0.0,489.71903178710795,490.8492429413855,490.2004838648854,491.5062734252862
0.4200000000000001,0.0015458129218116332,-0.001318037500139224,10.247797753293833,6.2806030546713885,6.269856122477204,0.0,0.018609962262226776,-0.008429449576522145,1.086307374228402,0.00357200873170643,-0.04555466763196629,0.0,396.6566569154243,396.497516684205,398.4959688933155,398.8753844283764
0.48000000000000015,0.002964013484038731,-0.001879519129569552,10.317218349584897,6.280777302404621,6.268033449083543,0.0,0.028896528833355462,-0.010265199823600423,1.2275678378777648,0.0015336534634463436,-0.010354594943871916,0.0,450.03367597085935,452.87302196585716,450.6532546457897,450.48842288496314
0.5400000000000001,0.005022082471997034,-0.0025453910158460854,10.394456097255159,6.281489818805781,6.267456042526984,0.0,0.03976649644564828,-0.011882328265378125,1.346889483414098,0.027108115087662712,-0.008199820631422067,0.0,444.9416112422176,445.1180892311652,442.9616393417924,445.05948559472904
0.6000000000000002,0.0077339611853071985,-0.003287139678715509,10.478204360394837,6.28292250974545,6.2667546051621255,0.0,0.05068702804061875,-0.012686019286404521,1.4445996974174216,0.016477387704002908,-0.01979190569727398,0.0,438.2235592152534,437.25912211945706,438.71950308959606,437.83610811581434
0.6600000000000003,0.011145779082417841,-0.004049613630593691,10.569473809736452,0.0011083482348386298,6.265324059742202,0.0,0.06317882286448034,-0.01259762384072465,1.597511353271699,0.03325548732041842,-0.03351071443375137,0.0,456.0795931172997,454.98258244125896,454.7015306956473,456.0435708246867
0.7200000000000003,0.0153223946028385,-0.004774291181655599,10.668832886660281,0.0029357675345771383,6.2633611309844675,0.0,0.07624603597949682,-0.011358153777237819,1.7142853076137514,0.024173744758239427,-0.031170941343819387,0.0,444.3535978827361,444.5449386511607,445.38384708733753,444.6408160834883
0.7800000000000004,0.020315335150741222,-0.005389353421095019,10.77477291008321,0.004357255249078484,6.261652952087616,0.0,0.0903646500721991,-0.008997417756272028,1.8168864403478218,0.0227091370963045,-0.023551669608210708,0.0,440.26527750276347,440.8949443050679,440.78785208250554,440.66687574632687
0.8400000000000004,0.02625852590193879,-0.005818587377244465,10.890066032308287,0.005224323517347251,6.260531909274551,0.0,0.10788187170856835,-0.005168290167533951,2.0258665532209563,-0.01224838736830554,-0.010392484441916178,0.0,473.268726566547,474.2804715888184,474.3475873920193,471.65559431444694
0.9000000000000005,0.0332370375562129,-0.006015714153540614,11.016167402181944,0.004464377407281894,6.259858040218139,0.0,0.12479959068674161,-0.001485882738817809,2.177234486695392,-0.013513860362303192,-0.012963561073719931,0.0,457.28658993511556,457.0818748215898,456.63349892781,456.53266815777687
0.9600000000000005,0.0412150831525091,-0.006014335206331326,11.150036484490727,0.0040052754478443475,6.2592580517267,0.0,0.14120039652954341,0.001467552046612081,2.284856989460153,0.0020533347058851615,-0.0046484669494627606,0.0,443.0629205918442,443.74611544650173,443.86581428407885,445.1415794763742
1.0200000000000005,0.050265190023948365,-0.0058291189809205396,11.293590242399947,0.004135595389595181,6.259066928337218,0.0,0.16048643837678533,0.004719612878444472,2.4998218803964343,0.0024082962093753624,-0.0004088289044280999,0.0,477.0105453651694,477.3342436043692,476.55883645793364,476.58592080292897
1.0800000000000005,0.06038932261217357,-0.005460578497465713,11.446451874808327,0.004041514687365577,6.259009935278414,0.0,0.17698302338369956,0.007568269443045665,2.59535272394931,-0.011025019700783067,-0.002054660204306356,0.0,442.1304135742249,441.99481804201355,441.63689700854934,440.52756272838195
1.1400000000000006,0.07149340375628906,-0.004927933675738755,11.604580327468208,0.0031578856976182124,6.258871806002695,0.0,0.1931608152072608,0.010110593809227329,2.6754106305864744,-0.023409097241783826,-0.0028018310096904345,0.0,436.86964357301247,436.80738773228234,437.92715389651283,436.89593170140523
